	30.26	-57.30	areal	-2120	-7464	3810
16:52:59.088 -> euler	3.01	36.99	-64.79	areal	-2061	-7975	4960
16:52:59.088 -> euler	3.20	36.93	-64.27	areal	-2064	-7974	4896
16:52:59.088 -> euler	3.40	36.87	-63.77	areal	-2055	-7970	4832
16:52:59.127 -> euler	3.62	36.81	-63.26	areal	-2038	-7960	4768
16:52:59.127 -> euler	3.84	36.74	-62.75	areal	-2021	-7945	4708
16:52:59.127 -> euler	4.05	36.66	-62.25	areal	-2006	-7921	4648
16:52:59.127 -> euler	4.27	36.58	-61.75	areal	-1998	-7895	4591
16:52:59.167 -> euler	4.50	36.49	-61.25	areal	-1993	-7867	4531
16:52:59.167 -> euler	4.73	36.39	-60.74	areal	-1992	-7842	4473
16:52:59.167 -> euler	4.94	36.29	-60.24	areal	-2002	-7818	4416
16:52:59.167 -> euler	5.15	36.18	-59.73	areal	-2020	-7795	4359
16:52:59.208 -> euler	5.34	36.07	-59.23	areal	-2043	-7779	4299
16:52:59.208 -> euler	5.52	35.96	-58.74	areal	-2061	-7772	4239
16:52:59.208 -> euler	5.69	35.85	-58.25	areal	-2079	-7762	4180
16:52:59.208 -> euler	5.86	35.73	-57.76	areal	-2102	-7752	4121
16:52:59.243 -> euler	6.02	35.62	-57.28	areal	-2119	-7739	4065
16:52:59.243 -> euler	6.19	35.51	-56.80	areal	-2129	-7724	4012
16:52:59.243 -> euler	6.37	35.40	-56.33	areal	-2137	-7709	3961
16:52:59.243 -> euler	6.55	35.30	-55.87	areal	-2133	-7695	3908
16:52:59.278 -> euler	6.76	35.19	-55.42	areal	-2127	-7682	3854
16:52:59.278 -> euler	6.98	35.09	-54.97	areal	-2120	-7667	3799
16:52:59.278 -> euler	7.22	34.99	-54.54	areal	-2110	-7644	3744
16:52:59.313 -> euler	7.47	34.88	-54.11	areal	-2094	-7620	3688
16:52:59.313 -> euler	7.74	34.78	-53.70	areal	-2073	-7596	3634
16:52:59.313 -> euler	8.02	34.67	-53.30	areal	-2054	-7572	3583
16:52:59.313 -> euler	8.31	34.56	-52.90	areal	-2038	-7543	3534
16:52:59.346 -> euler	8.58	34.44	-52.51	areal	-2030	-7504	3488
16:52:59.346 -> euler	8.85	34.32	-52.13	areal	-2036	-7434	3444
16:52:59.346 -> euler	9.06	34.20	-51.74	areal	-2053	-7304	3403
16:52:59.387 -> euler	9.24	34.09	-51.36	areal	-2054	-7275	3357
16:52:59.387 -> euler	9.45	33.97	-50.95	areal	-2032	-7324	3307
16:52:59.387 -> euler	9.69	33.84	-50.56	areal	-2007	-7376	3262
16:52:59.387 -> euler	9.97	33.71	-50.19	areal	-1997	-7389	3219
16:52:59.427 -> euler	10.28	33.58	-49.84	areal	-1994	-7372	3180
16:52:59.427 -> euler	10.60	33.45	-49.48	areal	-1994	-7333	3143
16:52:59.427 -> euler	10.92	33.32	-49.15	areal	-1977	-7292	3110
16:52:59.427 -> euler	11.23	33.20	-48.81	areal	-1941	-7252	3074
16:52:59.467 -> euler	11.53	33.07	-48.48	areal	-1887	-7220	3036
16:52:59.467 -> euler	11.80	32.94	-48.15	areal	-1829	-7192	2997
16:52:59.467 -> euler	12.06	32.80	-47.84	areal	-1776	-7169	2956
16:52:59.467 -> euler	12.32	32.65	-47.53	areal	-1737	-7149	2921
16:52:59.505 -> euler	12.57	32.49	-47.21	areal	-1713	-7130	2885
16:52:59.505 -> euler	12.84	32.32	-46.90	areal	-1703	-7106	2852
16:52:59.505 -> euler	13.12	32.15	-46.61	areal	-1698	-7084	2822
