	0.03	-0.00	areal	0	0	-4
16:15:10.994 -> euler	8.90	-0.43	0.04	areal	192	6	-3
16:15:11.034 -> euler	8.91	-0.49	0.02	areal	171	17	5
16:15:11.034 -> euler	8.93	-0.54	-0.00	areal	153	30	12
16:15:11.034 -> euler	8.96	-0.59	-0.02	areal	182	44	12
16:15:11.034 -> euler	9.02	-0.64	-0.02	areal	285	55	-4
16:15:11.071 -> euler	9.10	-0.71	-0.04	areal	325	93	-9
16:15:11.071 -> euler	9.21	-0.80	-0.04	areal	360	150	-4
16:15:11.071 -> euler	9.33	-0.91	-0.04	areal	374	157	4
16:15:11.071 -> euler	9.49	-1.04	-0.02	areal	357	160	12
16:15:11.114 -> euler	9.69	-1.17	0.01	areal	334	114	23
16:15:11.114 -> euler	9.92	-1.32	0.04	areal	293	29	37
16:15:11.114 -> euler	10.22	-1.46	0.07	areal	245	-55	47
16:15:11.114 -> euler	10.56	-1.60	0.08	areal	205	-112	54
16:15:11.152 -> euler	10.91	-1.72	0.09	areal	147	-139	54
16:15:11.152 -> euler	11.26	-1.83	0.07	areal	95	-167	54
16:15:11.152 -> euler	11.59	-1.92	0.04	areal	65	-168	57
16:15:11.152 -> euler	11.89	-1.99	-0.02	areal	67	-135	68
16:15:11.193 -> euler	12.14	-2.03	-0.08	areal	95	-72	79
16:15:11.193 -> euler	12.33	-2.06	-0.17	areal	137	15	89
16:15:11.193 -> euler	12.45	-2.07	-0.25	areal	186	107	94
16:15:11.193 -> euler	12.51	-2.07	-0.33	areal	249	182	97
16:15:11.232 -> euler	12.52	-2.08	-0.40	areal	333	210	94
16:15:11.232 -> euler	12.52	-2.10	-0.46	areal	412	197	87
16:15:11.232 -> euler	12.54	-2.12	-0.51	areal	471	183	77
16:15:11.232 -> euler	12.57	-2.16	-0.57	areal	506	167	71
16:15:11.273 -> euler	12.64	-2.22	-0.62	areal	509	140	74
16:15:11.273 -> euler	12.74	-2.28	-0.67	areal	493	105	84
16:15:11.273 -> euler	12.90	-2.36	-0.72	areal	460	65	93
16:15:11.273 -> euler	13.07	-2.43	-0.76	areal	419	51	106
16:15:11.321 -> euler	13.25	-2.50	-0.83	areal	430	113	113
16:15:11.321 -> euler	13.41	-2.55	-0.88	areal	478	190	102
16:15:11.321 -> euler	13.52	-2.61	-0.94	areal	492	181	97
16:15:11.321 -> euler	13.61	-2.68	-0.98	areal	456	175	108
16:15:11.321 -> euler	13.66	-2.74	-1.03	areal	459	217	127
16:15:11.363 -> euler	13.68	-2.80	-1.07	areal	507	237	140
16:15:11.363 -> euler	13.70	-2.86	-1.10	areal	533	231	148
16:15:11.363 -> euler	13.76	-2.91	-1.13	areal	517	223	149
16:15:11.363 -> euler	13.84	-2.98	-1.14	areal	509	214	151
16:15:11.403 -> euler	13.97	-3.05	-1.16	areal	509	190	151
16:15:11.403 -> euler	14.11	-3.11	-1.17	areal	509	148	155
16:15:11.403 -> euler	14.26	-3.18	-1.17	areal	513	99	164
16:15:11.403 -> euler	14.39	-3.24	-1.19	areal	501	63	170
16:15:11.443 -> euler	14.48	-3.30	-1.21	areal	491	61	172
16:15:11.443 -> euler	14.51	-3.35	-1.24	areal	507	76	174
16:15:11.443 -> euler	14.51	-3.39	-1.27	areal	525	97	180
16:15:11.443 -> euler	14.46	-3.43	-1.30	areal	550	142	186
16:15:11.483 -> euler	14.43	-3.47	-1.34	areal	567	172	193
16:15:11.483 -> euler	14.38	-3.51	-1.37	areal	553	194	197
16:15:11.483 -> euler	14.36	-3.55	-1.39	areal	540	173	196
16:15:11.483 -> euler	14.35	-3.60	-1.41	areal	531	150	189
16:15:11.524 -> euler	14.33	-3.64	-1.43	areal	540	122	189
16:15:11.524 -> euler	14.27	-3.68	-1.45	areal	548	104	189
16:15:11.524 -> euler	14.17	-3.71	-1.47	areal	543	97	187
16:15:11.524 -> euler	14.05	-3.74	-1.49	areal	545	101	188
16:15:11.560 -> euler	13.91	-3.75	-1.52	areal	569	110	192
16:15:11.560 -> euler	13.80	-3.77	-1.54	areal	602	133	208
16:15:11.560 -> euler	13.73	-3.80	-1.55	areal	621	166	209
16:15:11.560 -> euler	13.73	-3.82	-1.57	areal	659	161	209
16:15:11.602 -> euler	13.80	-3.86	-1.57	areal	652	167	212
16:15:11.602 -> euler	13.93	-3.90	-1.57	areal	656	152	213
16:15:11.602 -> euler	14.09	-3.95	-1.56	areal	637	127	200
16:15:11.602 -> euler	14.23	-3.99	-1.56	areal	613	93	189
16:15:11.643 -> euler	14.30	-4.04	-1.56	areal	595	54	187
16:15:11.643 -> euler	14.27	-4.07	-1.56	areal	588	30	190
16:15:11.643 -> euler	14.13	-4.08	-1.58	areal	604	14	195
16:15:11.643 -> euler	13.91	-4.10	-1.59	areal	625	-1	205
16:15:11.683 -> euler	13.61	-4.11	-1.61	areal	635	-43	218
16:15:11.683 -> euler	13.23	-4.12	-1.64	areal	656	-59	237
16:15:11.683 -> euler	12.80	-4.11	-1.69	areal	767	-39	263
16:15:11.683 -> euler	12.36	-4.11	-1.73	areal	849	-20	265
16:15:11.723 -> euler	11.98	-4.14	-1.78	areal	886	28	254
16:15:11.723 -> euler	11.67	-4.18	-1.82	areal	896	0	235
16:15:11.723 -> euler	11.46	-4.24	-1.85	areal	796	-16	222
16:15:11.723 -> euler	11.29	-4.31	-1.90	areal	737	-26	224
16:15:11.764 -> euler	11.12	-4.35	-1.93	areal	734	-80	229
16:15:11.764 -> euler	10.89	-4.40	-1.96	areal	690	-79	228
16:15:11.764 -> euler	10.59	-4.45	-1.99	areal	678	-91	235
16:15:11.764 -> euler	10.27	-4.48	-2.03	areal	645	-105	249
16:15:11.810 -> euler	9.98	-4.52	-2.05	areal	616	-121	265
16:15:11.810 -> euler	9.74	-4.55	-2.09	areal	621	-110	287
16:15:11.810 -> euler	9.55	-4.58	-2.11	areal	640	-107	308
16:15:11.810 -> euler	9.42	-4.61	-2.14	areal	654	-98	319
16:15:11.810 -> euler	9.34	-4.64	-2.15	areal	674	-96	324
16:15:11.845 -> euler	9.30	-4.67	-2.16	areal	686	-105	325
16:15:11.845 -> euler	9.27	-4.72	-2.17	areal	697	-110	324
16:15:11.845 -> euler	9.22	-4.76	-2.18	areal	703	-112	322
16:15:11.891 -> euler	9.18	-4.79	-2.19	areal	703	-113	311
16:15:11.891 -> euler	9.14	-4.83	-2.20	areal	695	-125	297
16:15:11.891 -> euler	9.11	-4.87	-2.19	areal	686	-140	288
16:15:11.891 -> euler	9.11	-4.90	-2.20	areal	673	-153	280
16:15:11.891 -> euler	9.11	-4.94	-2.19	areal	661	-164	278
16:15:11.935 -> euler	9.10	-4.96	-2.19	areal	657	-178	287
16:15:11.935 -> euler	9.07	-4.98	-2.18	areal	655	-190	303
16:15:11.935 -> euler	9.00	-4.99	-2.18	areal	656	-193	318
16:15:11.935 -> euler	8.85	-5.00	-2.17	areal	657	-191	332
16:15:11.974 -> euler	8.63	-5.00	-2.16	areal	648	-185	345
16:15:11.974 -> euler	8.38	-4.99	-2.16	areal	637	-193	351
16:15:11.974 -> euler	8.14	-4.98	-2.14	areal	640	-200	357
16:15:11.974 -> euler	7.95	-4.97	-2.13	areal	650	-204	358
16:15:12.008 -> euler	7.84	-4.95	-2.12	areal	673	-203	360
16:15:12.008 -> euler	7.78	-4.94	-2.10	areal	697	-199	360
16:15:12.008 -> euler	7.78	-4.94	-2.08	areal	721	-196	357
16:15:12.008 -> euler	7.80	-4.94	-2.07	areal	741	-189	349
