	0.02	-0.00	areal	0	0	-4
16:29:13.472 -> euler	15.39	0.01	-0.01	areal	1	0	-3
16:29:13.513 -> euler	15.39	0.01	-0.01	areal	1	-1	-2
16:29:13.513 -> euler	15.39	0.01	-0.01	areal	0	-2	-1
16:29:13.513 -> euler	15.39	0.01	-0.01	areal	1	-1	-1
16:29:13.513 -> euler	15.39	0.01	-0.01	areal	2	1	-1
16:29:13.558 -> euler	15.39	0.01	-0.01	areal	1	-2	-3
16:29:13.558 -> euler	15.39	0.01	-0.01	areal	0	-5	-4
16:29:13.558 -> euler	15.39	0.01	-0.01	areal	0	1	-4
16:29:13.558 -> euler	15.39	0.01	-0.01	areal	0	-1	-3
16:29:13.558 -> euler	15.40	0.01	-0.01	areal	-1	-3	-4
16:29:13.601 -> euler	15.40	0.01	-0.01	areal	-5	-2	-4
16:29:13.601 -> euler	15.40	0.01	-0.01	areal	-5	-4	-4
16:29:13.601 -> euler	15.40	0.01	-0.01	areal	-3	-4	-5
16:29:13.601 -> euler	15.41	0.01	-0.01	areal	0	-6	-5
16:29:13.637 -> euler	15.41	0.02	-0.00	areal	7	-10	-6
16:29:13.637 -> euler	15.42	0.02	0.00	areal	10	-14	-8
16:29:13.637 -> euler	15.43	0.02	0.00	areal	11	-22	-6
16:29:13.637 -> euler	15.44	0.02	0.00	areal	7	-41	-5
16:29:13.677 -> euler	15.46	0.02	0.00	areal	1	-56	-6
16:29:13.677 -> euler	15.47	0.03	-0.00	areal	11	-64	-4
16:29:13.677 -> euler	15.49	0.04	-0.01	areal	44	-80	-4
16:29:13.677 -> euler	15.51	0.04	-0.02	areal	92	-123	-7
16:29:13.711 -> euler	15.54	0.04	-0.04	areal	135	-168	-6
16:29:13.711 -> euler	15.58	0.03	-0.07	areal	153	-203	-5
16:29:13.711 -> euler	15.63	0.02	-0.12	areal	174	-227	-5
16:29:13.746 -> euler	15.70	-0.00	-0.18	areal	214	-233	-4
16:29:13.746 -> euler	15.77	-0.03	-0.25	areal	235	-211	-9
16:29:13.746 -> euler	15.86	-0.07	-0.34	areal	253	-182	-15
16:29:13.746 -> euler	15.96	-0.12	-0.43	areal	273	-170	-17
16:29:13.788 -> euler	16.07	-0.18	-0.52	areal	324	-178	-18
16:29:13.788 -> euler	16.19	-0.24	-0.61	areal	395	-199	-14
16:29:13.788 -> euler	16.29	-0.33	-0.73	areal	457	-226	-10
16:29:13.788 -> euler	16.41	-0.43	-0.84	areal	497	-246	-2
16:29:13.826 -> euler	16.53	-0.54	-0.98	areal	527	-276	3
16:29:13.826 -> euler	16.66	-0.68	-1.12	areal	545	-315	9
16:29:13.826 -> euler	16.78	-0.82	-1.28	areal	526	-333	17
16:29:13.826 -> euler	16.90	-0.98	-1.46	areal	471	-322	24
16:29:13.866 -> euler	17.03	-1.13	-1.65	areal	388	-283	29
16:29:13.866 -> euler	17.18	-1.29	-1.84	areal	300	-235	37
16:29:13.866 -> euler	17.35	-1.44	-2.03	areal	254	-194	49
16:29:13.866 -> euler	17.51	-1.57	-2.20	areal	243	-177	63
16:29:13.907 -> euler	17.67	-1.69	-2.36	areal	259	-189	81
16:29:13.907 -> euler	17.80	-1.81	-2.51	areal	262	-233	104
16:29:13.907 -> euler	17.87	-1.92	-2.67	areal	218	-287	131
16:29:13.907 -> euler	17.85	-2.01	-2.83	areal	162	-304	158
16:29:13.947 -> euler	17.75	-2.08	-3.00	areal	129	-282	177
16:29:13.947 -> euler	17.57	-2.12	-3.17	areal	110	-265	183
16:29:13.947 -> euler	17.36	-2.15	-3.34	areal	123	-292	179
16:29:13.947 -> euler	17.12	-2.16	-3.49	areal	152	-361	174
16:29:13.985 -> euler	16.86	-2.14	-3.63	areal	188	-467	170
16:29:13.985 -> euler	16.58	-2.13	-3.80	areal	205	-571	172
16:29:13.985 -> euler	16.30	-2.10	-3.97	areal	188	-601	176
16:29:13.985 -> euler	16.05	-2.06	-4.16	areal	202	-621	184
16:29:14.036 -> euler	15.88	-2.00	-4.33	areal	229	-619	195
16:29:14.036 -> euler	15.75	-1.94	-4.50	areal	308	-603	204
16:29:14.036 -> euler	15.68	-1.87	-4.67	areal	426	-566	199
16:29:14.036 -> euler	15.68	-1.82	-4.83	areal	600	-560	178
16:29:14.036 -> euler	15.76	-1.78	-4.98	areal	768	-554	143
16:29:14.086 -> euler	15.94	-1.78	-5.13	areal	905	-482	88
16:29:14.086 -> euler	16.24	-1.81	-5.26	areal	989	-523	53
16:29:14.086 -> euler	16.63	-1.88	-5.39	areal	1034	-539	77
16:29:14.086 -> euler	17.04	-1.98	-5.52	areal	1037	-519	133
16:29:14.086 -> euler	17.44	-2.10	-5.63	areal	979	-547	198
16:29:14.136 -> euler	17.76	-2.24	-5.75	areal	875	-579	241
16:29:14.136 -> euler	18.01	-2.38	-5.87	areal	733	-604	266
16:29:14.136 -> euler	18.16	-2.50	-5.99	areal	645	-632	284
16:29:14.136 -> euler	18.19	-2.60	-6.11	areal	618	-661	298
16:29:14.136 -> euler	18.12	-2.68	-6.23	areal	632	-686	315
16:29:14.185 -> euler	17.95	-2.74	-6.36	areal	637	-682	343
16:29:14.185 -> euler	17.70	-2.79	-6.48	areal	647	-667	367
16:29:14.185 -> euler	17.41	-2.84	-6.60	areal	665	-646	386
16:29:14.185 -> euler	17.13	-2.88	-6.71	areal	695	-633	395
16:29:14.185 -> euler	16.87	-2.93	-6.81	areal	731	-622	407
16:29:14.222 -> euler	16.68	-2.98	-6.90	areal	768	-617	411
16:29:14.222 -> euler	16.53	-3.05	-6.99	areal	812	-617	405
16:29:14.222 -> euler	16.48	-3.13	-7.05	areal	842	-616	397
16:29:14.256 -> euler	16.51	-3.23	-7.12	areal	849	-606	392
16:29:14.256 -> euler	16.59	-3.34	-7.17	areal	844	-593	398
16:29:14.256 -> euler	16.68	-3.45	-7.22	areal	845	-577	421
16:29:14.256 -> euler	16.72	-3.58	-7.24	areal	861	-573	445
16:29:14.298 -> euler	16.71	-3.69	-7.25	areal	884	-575	469
16:29:14.298 -> euler	16.69	-3.81	-7.25	areal	903	-592	484
16:29:14.298 -> euler	16.69	-3.94	-7.24	areal	945	-621	485
16:29:14.298 -> euler	16.76	-4.07	-7.22	areal	975	-651	478
16:29:14.339 -> euler	16.89	-4.21	-7.18	areal	1004	-666	475
16:29:14.339 -> euler	17.10	-4.36	-7.14	areal	1037	-660	486
16:29:14.339 -> euler	17.35	-4.52	-7.10	areal	1043	-640	505
16:29:14.339 -> euler	17.61	-4.69	-7.05	areal	1027	-602	523
16:29:14.373 -> euler	17.82	-4.86	-6.98	areal	1021	-554	548
16:29:14.373 -> euler	17.92	-5.03	-6.90	areal	1024	-524	575
16:29:14.373 -> euler	17.95	-5.19	-6.79	areal	1032	-516	590
16:29:14.373 -> euler	17.93	-5.35	-6.67	areal	1052	-516	597
16:29:14.416 -> euler	17.89	-5.53	-6.52	areal	1079	-516	603
16:29:14.416 -> euler	17.85	-5.70	-6.37	areal	1119	-514	605
16:29:14.416 -> euler	17.81	-5.87	-6.20	areal	1160	-520	603
16:29:14.416 -> euler	17.79	-6.06	-6.02	areal	1201	-518	594
16:29:14.457 -> euler	17.78	-6.24	-5.84	areal	1236	-516	586
16:29:14.457 -> euler	17.77	-6.44	-5.64	areal	1258	-511	578
16:29:14.457 -> euler	17.73	-6.65	-5.44	areal	1269	-510	571
16:29:14.457 -> euler	17.66	-6.86	-5.23	areal	1280	-499	566
16:29:14.499 -> euler	17.57	-7.07	-5.01	areal	1293	-479	569
16:29:14.499 -> euler	17.48	-7.27	-4.79	areal	1300	-453	581
16:29:14.499 -> euler	17.37	-7.48	-4.56	areal	1318	-420	604
16:29:14.499 -> euler	17.20	-7.68	-4.31	areal	1341	-390	635
