1949340	-85.59	5.00	-28.97		-3391	2096	4272
1949698	-67.64	-1.61	-35.40		-4063	190	4909
1949853	-67.05	-2.80	-35.99		-4044	39	5003
1950108	22.02	-43.23	-90.49		1928	-5563	8004
1950366	97.04	-51.74	-142.06		4786	-4738	11871
1950626	113.95	-69.55	-140.30		8396	15	11174
1950783	97.68	nan	40.39		-3676	-6628	-11450
1951039	32.96	63.53	-66.02		-684	-10366	12864
1951298	111.19	59.08	52.47		-5553	-6005	9715
1951556	106.14	36.70	55.84		-6347	-5088	8414
1951814	133.70	26.86	44.00		-1579	-5675	6956
1951971	133.93	26.74	43.54		-98	1211	-4348
1952227	164.50	20.13	19.85		2522	-2820	5035
1952483	-165.89	11.43	10.77		2315	-412	4195
1952638	-165.14	11.11	10.60		2284	-390	4179
1952896	-150.97	-0.88	16.87		911	-1280	4294
1953152	-126.52	0.07	35.17		2551	-2265	4457
1953307	-124.89	0.42	36.20		2632	-2168	4607
1953564	-91.61	-3.59	36.84		3427	400	5431
1953718	-91.99	-3.89	35.12		3224	282	5318
1953972	-97.23	-16.11	1.93		-2530	97	3369
1954125	-96.81	-16.90	2.81		-2549	210	3465
1954380	-134.63	-41.12	112.51		7238	-4113	12424
1954641	-120.72	-39.60	84.85		6968	-5022	9062
1954900	-100.36	-7.19	17.74		308	885	4139
1955054	-99.83	-5.78	15.50		-177	1175	4108
1955309	-84.12	9.35	-4.72		-2278	2373	3642
1955464	-83.59	8.88	-4.19		-2337	2249	3664
1955720	-79.46	-5.16	19.52		1132	716	3331
1955872	-79.80	-4.96	19.26		1109	715	3288
1956127	-73.76	4.07	-1.51		-2554	1577	2979
1956281	-74.00	3.61	-1.30		-2406	1426	2974
1956537	-79.91	-8.73	5.04		-722	-205	3313
1956689	-79.83	-8.86	4.89		-737	-232	3308
1956944	-76.59	-5.49	1.87		-1218	38	3165
1957197	-76.20	-4.06	4.52		-891	330	3186
1957349	-76.15	-4.06	4.57		-882	333	3190
1957602	-75.07	-5.67	3.85		-933	89	3243
1957854	-75.02	-7.60	4.96		-648	-115	3194
1958007	-75.03	-7.61	4.97		-641	-120	3195
1958261	-71.63	-7.24	7.78		-397	72	3145
